from bus,to bus,id,reactance,lower line limit,upper line limit
1,2,1,0.0999,-151,151
1,3,1,0.0424,-151,151
4,5,1,0.00798,-176,176
3,5,1,0.108,-175,175
5,6,1,0.054,-176,176
6,7,1,0.0208,-176,176
8,9,1,0.0305,-711,711
8,5,1,0.0267,-1099,1099
9,10,1,0.0322,-710,710
4,11,1,0.0688,-151,151
5,11,1,0.0682,-152,152
11,12,1,0.0196,-151,151
2,12,1,0.0616,-151,151
3,12,1,0.16,-151,151
7,12,1,0.034,-164,164
11,13,1,0.0731,-151,151
12,14,1,0.0707,-151,151
13,15,1,0.2444,-115,115
14,15,1,0.195,-144,144
12,16,1,0.0834,-164,164
15,17,1,0.0437,-151,151
16,17,1,0.1801,-158,158
17,18,1,0.0505,-167,167
18,19,1,0.0493,-173,173
19,20,1,0.117,-178,178
15,19,1,0.0394,-151,151
20,21,1,0.0849,-177,177
21,22,1,0.097,-178,178
22,23,1,0.159,-178,178
23,24,1,0.0492,-158,158
23,25,1,0.08,-186,186
26,25,1,0.0382,-768,768
25,27,1,0.163,-177,177
27,28,1,0.0855,-174,174
28,29,1,0.0943,-165,165
30,17,1,0.0388,-756,756
8,30,1,0.0504,-580,580
26,30,1,0.086,-340,340
17,31,1,0.1563,-151,151
29,31,1,0.0331,-146,146
23,32,1,0.1153,-158,158
31,32,1,0.0985,-151,151
27,32,1,0.0755,-151,151
15,33,1,0.1244,-150,150
19,34,1,0.247,-114,114
35,36,1,0.0102,-176,176
35,37,1,0.0497,-175,175
33,37,1,0.142,-154,154
34,36,1,0.0268,-146,146
34,37,1,0.0094,-159,159
38,37,1,0.0375,-783,783
37,39,1,0.106,-151,151
37,40,1,0.168,-140,140
30,38,1,0.054,-542,542
39,40,1,0.0605,-151,151
40,41,1,0.0487,-152,152
40,42,1,0.183,-151,151
41,42,1,0.135,-151,151
43,44,1,0.2454,-117,117
34,43,1,0.1681,-167,167
44,45,1,0.0901,-166,166
45,46,1,0.1356,-153,153
46,47,1,0.127,-152,152
46,48,1,0.189,-148,148
47,49,1,0.0625,-150,150
42,49,1,0.323,-89,89
42,49,2,0.323,-89,89
45,49,1,0.186,-138,138
48,49,1,0.0505,-140,140
49,50,1,0.0752,-140,140
49,51,1,0.137,-140,140
51,52,1,0.0588,-142,142
52,53,1,0.1635,-166,166
53,54,1,0.122,-177,177
49,54,1,0.289,-99,99
49,54,2,0.291,-97,97
54,55,1,0.0707,-169,169
54,56,1,0.00955,-155,155
55,56,1,0.0151,-146,146
56,57,1,0.0966,-140,140
50,57,1,0.134,-140,140
