bus,id,min generation,max generation,linear cost coefficient
4,1,172.18,281.74,27.465
10,1,97.5,221.79,36.6242
15,1,-200,179,48.1901
15,2,-200,179,37.9339
15,3,-200,179,12.1561
16,1,-200,179,36.0579
19,1,26,55,46.0375
22,1,0,285,47.5032
29,1,0,18,103.914
30,1,0,22,41.9911
37,1,0,296,33.4154
44,1,1,269,26.3313
45,1,0,15,41.2121
49,1,0,285,37.9645
54,1,0,258,28.622
58,1,0,297,30.3624
60,1,0,278,38.0964
69,1,172.18,281.74,48.5034
75,1,78.08,221.79,29.8329
80,1,-200,179,19.463
80,2,-200,179,24.6703
80,3,-200,179,42.5148
81,1,-200,179,19.6316
84,1,26,55,44.4914
87,1,0,256,44.3149
94,1,0,18,30.8632
95,1,0,22,122.118
102,1,0,268,42.0458
109,1,1,268,19.8588
110,1,0,15,100.343
114,1,0,298,6.55786
119,1,0,283,32.1249
123,1,0,264,53.8981
125,1,0,253,30.4422
133,1,60.69,393.52,27.8294
138,1,10.47,33.73,53.6317
152,1,0,41,28.7321
153,1,0,25,105.178
153,2,0,35,122.503
172,1,0,276,38.9359
178,1,0,18,42.4715
183,1,135,205,10.4354
184,1,100,232,27.8466
185,1,90,250.43,40.6093
186,1,90,250,29.9519
187,1,607.86,1241.44,117
199,1,90,222,27.7595
205,1,2.08,297,21.2381
210,1,2.5,258,33.9217
222,1,0,26,34.7999
226,1,0,261,37.7938
227,1,0,50,26.4649
230,1,0,254,40.3215
271,1,16.56,50.41,46.9398
275,1,89.84,146.28,20.6091
278,1,9.75,26.7,51.9466
281,1,19.3,64.19,30.3972
296,1,334.33,825.3,7.11731
296,2,343.14,846.64,41.9746
326,1,22,41.4,53.8814
361,1,0,280,31.5442
361,2,4.75,19.75,105.419
362,1,64.83,92.8,45.0185
365,1,5.13,273,45.7152
366,1,131.27,196.9,41.7004
368,1,60.17,87.21,31.8326
385,1,26.89,47.26,40.9458
390,1,465.14,697.71,33.2473
395,1,214.41,321.61,36.4867
411,1,0,286,30.3859
414,1,287.44,431.17,25.3215
422,1,35.69,65.27,27.3042
423,1,70,143.75,25.2844
424,1,70,143.75,31.2764
440,1,32,137.5,46.7818
455,1,10,31.25,102.118
455,2,10,25,25.7645
475,1,70,120,17.8369
475,2,58.33,120,6.19142
476,1,100.12,254.99,20.5359
514,1,2.64,79.66,35.8796
545,1,240,431.25,30.2632
546,1,240,462.5,36.168
546,2,240,370,34.6415
547,1,353.78,1090.99,39.1852
547,2,353.78,1090.99,15.6579
547,3,353.78,1090.99,25.5984
548,1,240,462.5,16.4463
548,2,240,425,22.9907
548,3,240,425,18.45
557,1,83.9,156.95,22.1446
560,1,91.67,137.5,39.1813
570,1,240,437.5,27.7489
574,1,0,30,108.452
580,1,0,261,17.3763
